Valor exportado em 2020 (USD bilhäes);Participa‡Æo do Brasil no mercado de exporta‡Æo (%);Distƒncia m‚dia entre o pa¡s parceiro e o fornecedor (km);Concentra‡Æo de todos os pa¡ses fornecedores do pa¡s parceiro;imposto m‚dio (estimado) encarado pelo Brasil (%);PIB do pa¡s parceiro (USD bilhäes)
0.345311;3.9;10948;0.98;0;167.00
0.013033;0.2;4040;0.76;0;167.00
0.108714;2;4051;0.47;0;167.00
0.000048;0;2396;0.25;0;167.00
0.068357;1.2;4280;0.22;0;419.00
0.004564;0;3439;0.3;0;419.00
0.004288;0.1;2280;0.17;2.1;419.00
0.000367;0;1147;0.25;19.2;419.00
0.001236;0.1;3191;0.23;28;419.00
0.070141;1.2;5850;0.28;54.6;402.00
0.065623;0.2;9613;0.35;0;402.00
0.010367;9.3;2390;0.2;50;402.00
0.015148;0.3;4292;0.22;0;402.00
0.006904;0.1;3336;0.14;0;402.00
0;;5131;0.29;0;402.00
0.015285;2;8056;0.27;47.7;402.00
0.102577;1.5;10397;0.23;0;402.00
0.015074;0.9;7537;0.11;11.4;402.00
0.002716;0;10910;0.3;7.5;402.00
0.052443;0.9;1345;0.15;0;1886.00
0.210698;0.7;7558;0.28;0;1886.00
0.417446;8.4;6864;0.13;2.1;1886.00
0.004649;0.1;2333;0.2;50.4;1886.00
0.007177;0.2;3985;0.12;4.3;1886.00
0.009391;1.2;1718;0.13;38.7;1886.00
0.143983;2.2;6823;0.33;55.4;1886.00
0.000012;0;1016;0.2;18.2;1886.00
0.000006;0;1063;0.21;19.2;1886.00
0.006573;0.4;2006;0.15;28;1886.00
0.112568;1.9;10503;0.63;0;1886.00
0.038088;0.4;6657;0.33;17.7;61.35
0.00006;0;4787;0.48;35;61.35
0.000492;0;5770;0.11;35;61.35
0.003113;0.1;5212;0.14;35;61.35
0.000035;0;5386;0.56;35;61.35
0.001123;0;2851;0.96;0;13.81
0.002845;0;2051;0.46;36.3;13.81
0.00016;0;3112;0.37;22.6;13.81
0.697162;11.9;12861;0.53;16;5065.00
0.156084;0.5;10873;0.56;0;5065.00
0.292851;5.9;12142;0.14;2.8;5065.00
0.000931;0;7552;0.7;33.1;5065.00
0.004879;0.1;5331;0.13;3.2;5065.00
0.000012;0;9177;0.42;38.5;5065.00
0.000026;0;8971;0.35;38.5;5065.00
0.043309;2;10260;0.18;31.9;5065.00
0.657849;11.8;13418;0.52;7.9;5065.00
0.083084;5.2;10885;0.09;23.2;5065.00
0.155121;2.6;9040;0.28;0;5065.00
0.030551;0.5;11305;0.55;0;43.7
0.030433;0.6;6891;0.22;20.6;43.7
0.032657;4.3;9694;0.27;7.6;43.7
0.012238;0.2;7314;0.32;9.6;43.7
0.000001;0;3558;1;20;43.7
0.069796;1.3;9172;0.67;21.7;43.7
0.000389;0;3314;0.09;9.6;43.7
0.010404;0.2;12192;0.83;0;43.7
0.000041;0;2923;0.45;0.9;170.00
0.001758;0;6586;0.39;41.3;170.00
0.000112;0;6041;0.23;41.1;98.84
0.000263;0;1493;0.23;25;98.84
0.006646;0.1;2662;0.11;78.8;98.84
0.001644;0;664;0.93;25;98.84
0.000267;0;8104;0.45;46.3;0.2
0.009404;0.2;10810;0.36;0;136.00
0.000556;0;3915;0.31;0;136.00
0.000001;0;4694;0.34;5;136.00
0.001089;0.1;5822;0.32;0;136.00
0.001405;0;9702;0.22;5;136.00
0.147735;2.7;8987;0.54;5;136.00
0.001644;0.1;2292;0.46;5;136.00
0.005144;0.1;1080;0.25;2.1;33.51
0.000001;0;685;0.18;18.2;33.51
0.000001;0;476;0.29;19.2;33.51
0.006496;0.1;1966;0.35;0;33.51
0.019384;0.3;5997;0.16;0.9;33.38
0;;1926;0.67;0;33.38
0.031656;0.6;9189;0.53;5;33.38
0.012423;0.1;4249;0.17;1.2;33.38
0.029883;3.9;10844;0.4;1.2;33.38
0.00797;0.1;9421;0.23;0.2;33.38
0.000555;0;7347;0.45;5;33.38
0.003508;0.1;8203;0.51;43.1;33.38
0.000479;0;5909;0.14;23.6;33.38
0.000026;0;6630;0.46;5;2.95
0.000028;0;5623;0.28;12.3;2.95
0.007672;0.1;4770;0.88;10;2.95
0.000004;0;12731;0.99;8;2.95
0.000101;0;4626;0.96;10;2.95
0.000856;0;5294;0.36;10;2.95
0.000658;0;5171;0.23;10;2.95
0.004372;0.1;5666;0.14;10;2.95
0.000076;0;5573;0.15;17.5;2.95
0.000013;0;2563;0.43;0;25.42
0.007017;0.1;4993;0.29;0;25.42
0.016292;0.2;4848;0.23;0;25.42
0.029066;0.4;8373;0.51;0;25.42
0.000001;0;8491;1;0;25.42
0.074668;1.3;6612;0.47;0;25.42
0.000041;0;3378;0.2;0;25.42
0.002995;0.1;1048;0.14;2.1;55.89
0.000215;0;1751;0.26;50.4;55.89
0.000022;0;2676;0.07;4.3;55.89
0.000016;0;947;0.16;28;55.89
0.000019;0;4021;0.47;0;55.89
0.000075;0;;0.19;0;55.15
0.000219;0;;0.28;0;55.15
0.000377;0;;0.26;0;55.15
0.000618;0;4188;0.22;13;12.27
0.009196;0.2;3912;0.16;20.8;12.27
0.032968;0.4;7553;0.43;10;13.72
0.000441;0;5255;0.24;18.2;11.96
0.000373;0;1626;0.64;25;11.96
0.225213;3.8;16163;0.59;0;337.00
0.010485;0;14677;0.66;0;337.00
0.020174;0.4;6931;0.18;0;337.00
0.383603;4.4;11880;0.41;0;337.00
0.12943;3.9;10230;0.19;5.9;337.00
0.021552;0.3;4568;0.65;0;337.00
0.014018;0.3;3647;0.45;38.7;337.00
0.002186;0.1;6951;0.06;2.9;337.00
0.002067;0;16123;0.93;0;337.00
0.000799;0;4240;0.39;0;4.03
0.000036;0;7424;0.21;50;4.03
0.007231;0.1;8889;0.3;0;4.03
0.000013;0;4222;0.74;17.7;17.39
0.000058;0;1476;0.35;2.1;14.65
0.005552;0.1;5714;0.36;50.4;14.65
0.000002;0;3169;0.18;4.3;14.65
0.000028;0;2322;0.18;38.7;14.65
0.000174;0;1838;0.15;55.4;14.65
0.000166;0;1461;0.3;18.2;14.65
0.000109;0;1546;0.21;19.2;14.65
0.000032;0;1339;0.22;28;14.65
0.000002;0;15964;1;0;0.35
0.000028;0;13107;0.32;0;0.35
0.000018;0;7776;0.6;0;0.35
0.000004;0;12913;0.5;0;0.35
0.000115;0;15747;0.89;0;0.35
0.000366;0;12504;0.32;0;0.35
0.000426;0;11920;0.37;0;0.35
0.00033;0;10711;0.67;0;0.35
0.00009;0;9522;0.31;0;0.35
0.000008;0;2331;0.47;5;7.78
0.080921;0.9;5367;0.28;12.6;7.78
0.007685;0.1;6640;0.3;14;7.78
0.011653;0.1;8107;0.38;49.3;10.91
0.000183;0;6079;0.21;0;10.91
0.000332;0;5994;0.45;0;10.91
0.000064;0;12839;0.39;0;10.91
0.000049;0;12501;0.32;0;10.91
0.000032;0;4821;0.41;0;10.91
0.211816;3.6;2044;0.87;3;1076.00
0.288607;1;2151;0.84;0.8;1076.00
